Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Jamaica,JAM,2274.486011,2275.672382,2343.211476,2405.888861,2376.888987,2392.999093,2366.789734,1921.838739,1156.938657,1218.580626,1213.257088,1203.395803,1038.017706,1015.49649,1055.523469
Jordan,JOR,1294.49965,1330.128804,1409.554026,1452.16383,1564.420808,1592.548692,1695.080341,1802.62485,1866.61514,1831.371875,1865.674239,1868.132869,1941.17714,1877.585736,1888.116953
Japan,JPN,8299.409506,8162.014644,8266.099102,8164.933682,8393.257723,8539.010589,8542.478139,8710.025703,8270.007731,8020.273806,8594.909034,8099.598695,7998.346771,7988.58331,7819.714636
Kazakhstan,KAZ,3169.523341,3512.035501,3558.327279,3768.792821,3859.192559,4012.073919,4261.212572,4487.28613,4689.166773,4447.357843,4728.095887,4892.912796,5180.858682,5345.555032,5599.90431
Kenya,KEN,106.103299,115.7434551,114.9514953,120.5947042,127.869104,130.2142282,138.0490418,141.7059522,141.1551364,142.1072896,150.2775613,151.1291532,152.8411278,163.4734576,166.7381869
Kyrgyz Republic,KGZ,1696.064021,1445.875715,1365.94065,1644.359844,1417.908986,1374.307519,1377.433696,1456.229595,1378.720364,1323.723367,1371.721214,1649.258332,1809.102582,1887.020071,1941.221832
Cambodia,KHM,32.75085634,36.52497369,50.33744689,51.5049882,55.72831589,66.76613263,80.74517705,100.6091165,114.6211569,127.9612054,144.3173892,165.1546862,207.2834659,221.5980997,271.4332395
"Korea, Rep.",KOR,5906.959333,6309.203405,6673.937704,6977.317662,7390.794147,7796.314674,8039.796283,8462.206543,8772.287463,8877.574933,9716.126081,10129.95709,10305.32898,10384.62216,10496.51367
Kuwait,KWT,14027.61246,14471.7224,15095.39223,16331.06175,16629.98842,17028.29147,17738.92442,17097.47904,17054.75165,16531.3971,16722.6858,15786.33497,15833.04767,14891.12477,15213.41987
Latin America & Caribbean (excluding high income),LAC,1548.889586,1512.262742,1536.471545,1607.108915,1637.536521,1689.709071,1732.292197,1788.931094,1841.517141,1820.570663,1909.47671,1992.131843,2037.284338,2055.379385,2058.60268
Lebanon,LBN,2985.44276,2946.552221,3010.357845,2963.692204,2847.848725,2810.738899,2694.615944,2796.058991,2966.397611,3140.45185,3478.789368,3342.582809,2802.251402,3100.394951,2892.770465
Libya,LBY,2222.657476,2256.750493,2773.940912,2950.167665,3109.158511,3431.39489,3795.842341,3795.582244,3159.384366,3148.967996,3377.29408,2863.808369,2272.896675,2367.183831,1857.156581
Latin America & Caribbean,LCN,1587.783246,1556.157303,1582.0783,1655.804741,1689.865682,1742.275757,1788.392395,1848.135091,1899.610865,1878.583139,1966.256547,2054.148164,2104.555598,2124.747788,2128.816995
Least developed countries: UN classification,LDC,87.20221963,96.48712863,100.5971632,108.1729603,122.0513468,127.749107,138.0111765,142.8509965,143.6969597,151.155825,164.7996971,172.1925411,181.2677506,194.5099686,204.709023
Sri Lanka,LKA,294.7512658,290.8044359,303.1590877,326.4064425,354.6257078,400.5212307,403.6064594,420.9827281,427.2070476,426.1501047,461.1267067,504.2082908,524.3198689,527.2020832,535.0675567
Lower middle income,LMC,442.5523018,448.9539401,463.8414741,484.4513729,509.678216,530.1690023,561.9306954,588.4085537,600.1287878,619.2621275,661.2201329,699.1448857,719.6446174,745.4935411,769.0503379
Low & middle income,LMY,969.876519,990.8227514,1034.062476,1105.589549,1180.593291,1248.254812,1344.985673,1440.228045,1480.660072,1511.818545,1638.791791,1750.977084,1804.340254,1884.092039,1930.389389
Late-demographic dividend,LTE,1537.32202,1590.375413,1678.016745,1827.61253,1984.814199,2132.24181,2338.888852,2553.597768,2655.286285,2738.048181,3008.427988,3245.439654,3389.709422,3586.111237,3703.840614
Lithuania,LTU,2516.905098,2695.906268,2848.913483,3087.655148,3196.849344,3187.03108,3353.304327,3564.206785,3733.626495,3622.290317,3470.78503,3529.918778,3607.703798,3663.671197,3821.14517
Luxembourg,LUX,15668.11827,15616.32977,15980.2768,16258.88449,16300.11242,15644.14672,16456.60412,16352.3218,15937.78778,14425.96473,16829.96254,15586.08423,14703.94353,14193.16843,13914.67845
Latvia,LVA,2082.321387,2213.360603,2307.186518,2493.930169,2607.45996,2777.38198,2966.609973,3169.077295,3213.12144,3026.611489,3229.951062,3264.05332,3587.932866,3472.541385,3507.404521
Morocco,MAR,489.0878809,523.9218703,534.9621555,580.4529074,610.9820031,633.1036232,686.7330458,715.8484976,732.1298275,744.2974887,774.3683908,823.8883054,874.4280466,878.5869314,901.1284488
Moldova,MDA,1638.095699,1804.507386,1872.449326,2101.927717,1960.906729,2047.737712,2166.121975,1996.415901,2028.229958,1740.799034,1722.886713,1470.230501,1514.530474,1352.792108,1386.234439
Middle East & North Africa,MEA,1740.910038,1818.250632,1900.037184,1993.071599,2057.141866,2135.575956,2251.642814,2320.385296,2400.99544,2454.312096,2642.255365,2675.354292,2731.887173,2779.793784,2875.315078
Mexico,MEX,1750.556158,1784.87662,1796.769753,1952.538011,1882.395463,1950.98786,1974.469114,1998.7241,1995.437183,1942.760548,1963.314688,2153.71537,2187.227534,2079.193579,2090.175944
Middle income,MIC,1017.768369,1039.829503,1086.484888,1162.515476,1242.449346,1314.884348,1418.755122,1521.396455,1565.864257,1600.645903,1736.970148,1858.480476,1920.492402,2007.66452,2059.146934
"Macedonia, FYR",MKD,2895.589239,2800.999784,2755.587312,3108.950603,3143.340915,3374.311741,3450.072583,3621.472816,3676.154046,3421.305857,3574.086353,3882.969509,3681.228291,3551.024479,3496.999993
Malta,MLT,4311.858637,4292.315051,4500.3523,4872.272205,4797.292583,4912.90976,4897.510042,4873.083467,4836.593963,4434.186633,4767.097378,4867.0568,5008.880571,4945.981567,5007.440964
Myanmar,MMR,76.276489,69.25024482,73.90716463,80.81907752,81.33344075,75.5734829,89.15689595,90.2757133,95.00856027,100.259655,125.4089848,155.7176661,157.3161091,186.8287082,216.7776086
Middle East & North Africa (excluding high income),MNA,1048.711466,1098.493749,1159.414711,1206.28286,1275.866485,1302.783439,1378.184547,1413.460751,1450.176383,1484.690514,1613.091124,1639.579709,1628.796257,1661.941641,1687.023515
Montenegro,MNE,,,,,,6314.905228,6451.770253,6564.643799,6287.187849,5010.561319,5419.51607,5741.203943,5415.717989,4574.964545,4612.34139
Mongolia,MNG,1053.625623,1071.17353,1096.716031,1139.195703,1195.915464,1251.956305,1299.055673,1333.88896,1425.728017,1380.660041,1492.636352,1500.625019,1594.043975,1902.334071,2017.513619
Mozambique,MOZ,123.1480266,271.8847596,260.5584697,367.1525889,440.0201746,441.7611756,449.0551858,449.153875,432.3589369,431.8981802,440.3955922,440.6751593,445.3859673,436.1367087,462.6202881
Mauritius,MUS,1363.24611,1453.664547,1473.492493,1561.765991,1614.246648,1683.690833,1743.117482,1816.671103,1881.649775,1907.12257,1995.361484,2025.704166,2075.035712,2148.328411,2182.509156
Malaysia,MYS,2748.08407,2759.536547,2821.66756,2915.868039,2986.322177,2877.230962,3072.419424,3284.515477,3301.234636,3960.60435,4159.639935,4104.888234,4323.346882,4484.169981,4596.331939
