Country,forest_1990,forest_2000,forest_2005,forest_2010,Country Code,power_2000,power_2005,power_2010,pop_2000,pop_2005,pop_2010,Continent
Turkmenistan,41270.0,41270,41270,41270.0,TKM,1692.1564059999996,2051.679612,2382.052245,4516131.0,4754641.0,5087210.0,Asia
Ukraine,92740.0,95100,95750,97050.0,UKR,2778.43709,3246.035731,3549.847724,49175848.0,47105150.0,45870700.0,Europe
United Arab Emirates,2450.0,3100,3120,3170.0,ARE,12232.62043,12303.14165,10968.25849,3154925.0,4579562.0,8270684.0,Asia
United Kingdom,26110.0,27930,28450,28810.0,GBR,6114.529259,6270.984059,5700.855864,58892514.0,60401206.0,62766365.0,Europe
United States,2963350.0,3001950,3021080,3040220.0,USA,13671.05202,13704.57705,13393.99128,282162411.0,295516599.0,309348193.0,North America
Uruguay,9200.0,14120,15200,17440.0,URY,2030.262748,1999.631947,2803.1525460000007,3321245.0,3325612.0,3374415.0,South America
Uzbekistan,30450.0,32120,32950,32760.0,UZB,1780.4579239999996,1717.201055,1653.467496,24650400.0,26167000.0,28562400.0,Asia
Vietnam,93630.0,117250,130770,137970.0,VNM,285.2816799,566.7377027000001,1016.59824,77630900.0,82392100.0,86932500.0,Asia
Zambia,528000.0,511340,503010,494680.0,ZMB,591.0045948,681.4548368,580.143022,10531221.0,12052156.0,13850033.0,Africa
Zimbabwe,221640.0,188940,172590,156240.0,ZWE,872.8343085000001,832.378158,546.8427268999999,12222251.0,12940032.0,14086317.0,Africa
